Event,Suburb,PreRent,PostRent,Diff
Rapid Tightening Peak,Elwood,420.0,447.5,27.5
Rapid Tightening Peak,Essendon,399.75,421.25,21.5
Rapid Tightening Peak,Ferntree Gully,428.75,456.25,27.5
Rapid Tightening Peak,Fitzroy,536.25,575.0,38.75
Rapid Tightening Peak,Footscray,366.25,400.0,33.75
Rapid Tightening Peak,Frankston,405.0,442.5,37.5
Rapid Tightening Peak,Hamilton,302.5,327.5,25.0
Rapid Tightening Peak,Hawthorn,376.25,413.75,37.5
Rapid Tightening Peak,Horsham,323.75,345.0,21.25
Rapid Tightening Peak,Keilor,442.5,465.0,22.5
Rapid Tightening Peak,Kew,481.25,520.0,38.75
Rapid Tightening Peak,Lara,442.0,478.75,36.75
Rapid Tightening Peak,Malvern,452.5,495.75,43.25
Rapid Tightening Peak,Malvern East,412.5,475.0,62.5
Rapid Tightening Peak,Melton,350.0,367.5,17.5
Rapid Tightening Peak,Mildura,340.0,357.5,17.5
Rapid Tightening Peak,Morwell,272.0,312.5,40.5
Rapid Tightening Peak,Mount Waverley,499.5,542.5,43.0
Rapid Tightening Peak,Noble Park,365.0,387.5,22.5
Rapid Tightening Peak,North Bendigo,367.5,403.75,36.25
Rapid Tightening Peak,North Geelong,393.75,425.0,31.25
Rapid Tightening Peak,Northcote,491.25,506.25,15.0
Rapid Tightening Peak,Pakenham,378.75,416.25,37.5
Rapid Tightening Peak,Port Melbourne,597.5,630.75,33.25
Rapid Tightening Peak,Portland,350.0,377.5,27.5
Rapid Tightening Peak,Preston,402.5,440.0,37.5
Rapid Tightening Peak,Reservoir,380.0,403.75,23.75
Rapid Tightening Peak,Ringwood,415.0,445.0,30.0
Rapid Tightening Peak,Rowville,477.5,511.25,33.75
Rapid Tightening Peak,Seymour,326.5,363.75,37.25
Rapid Tightening Peak,Shepparton,332.5,367.5,35.0
Rapid Tightening Peak,South Melbourne,443.75,521.25,77.5
Rapid Tightening Peak,South Yarra,405.0,473.25,68.25
Rapid Tightening Peak,Springvale,393.75,425.0,31.25
Rapid Tightening Peak,St Kilda,373.75,416.25,42.5
Rapid Tightening Peak,Sunbury,392.5,413.75,21.25
Rapid Tightening Peak,Sunshine,352.5,370.0,17.5
Rapid Tightening Peak,Swan Hill,300.0,315.0,15.0
Rapid Tightening Peak,Sydenham,402.5,421.25,18.75
Rapid Tightening Peak,Thornbury,400.0,422.5,22.5
Rapid Tightening Peak,Toorak,503.25,538.25,35.0
Rapid Tightening Peak,Torquay,575.0,608.75,33.75
Rapid Tightening Peak,Traralgon,362.25,383.75,21.5
Rapid Tightening Peak,West Footscray,395.0,416.25,21.25
Rapid Tightening Peak,Whittlesea,400.0,435.0,35.0
Rapid Tightening Peak,Williamstown,517.5,546.25,28.75
Rapid Tightening Peak,Wodonga,375.0,410.0,35.0
International Student Cap Announcement,Altona,500.0,550.0,50.0
International Student Cap Announcement,Armadale,557.0,611.25,54.25
International Student Cap Announcement,Bairnsdale,418.75,447.5,28.75
International Student Cap Announcement,Balwyn,661.25,705.0,43.75
International Student Cap Announcement,Bayswater,487.5,542.5,55.0
International Student Cap Announcement,Benalla,400.0,432.0,32.0
International Student Cap Announcement,Bendigo,412.5,450.0,37.5
International Student Cap Announcement,Bentleigh,618.75,671.25,52.5
International Student Cap Announcement,Berwick,526.25,586.25,60.0
International Student Cap Announcement,Blackburn,532.5,594.5,62.0
International Student Cap Announcement,Boronia,485.75,547.5,61.75
